# ----------------------------------------
# Duke Chapel - GA4
# DCDevelopment_UTMs Granular by Date+Hour-Free form 1
# 20240224-20250423
# ----------------------------------------

Date + hour (YYYYMMDDHH),Manual campaign name,Manual source / medium,Manual source platform,Manual ad content,Sessions,Engaged sessions,Key events,Engagement rate,Session key event rate,Event value
,,,,,16833,16816,32283.000000000007,0.9989900790114655,1,0,Grand total
2025042011,(organic),google / organic,(not set),(not set),70,70,103.440079,1,1,0
2025042010,(organic),google / organic,(not set),(not set),57,57,71.9892,1,1,0
2025030211,(organic),google / organic,(not set),(not set),41,41,157.622002,1,1,0
2025041311,(organic),google / organic,(not set),(not set),39,39,85,1,1,0
2024120811,(organic),google / organic,(not set),(not set),35,35,66,1,1,0
2025042009,(organic),google / organic,(not set),(not set),35,35,41,1,1,0
2025032311,(organic),google / organic,(not set),(not set),29,29,134,1,1,0
2024101311,(organic),google / organic,(not set),(not set),28,28,47,1,1,0
2024090110,(organic),google / organic,(not set),(not set),26,26,53,1,1,0
2024090111,(organic),google / organic,(not set),(not set),26,26,55,1,1,0
2025030210,(organic),google / organic,(not set),(not set),26,26,92,1,1,0
2024092911,(organic),google / organic,(not set),(not set),25,25,69,1,1,0
2024120111,(organic),google / organic,(not set),(not set),24,24,40,1,1,0
2025020910,(organic),google / organic,(not set),(not set),24,24,105,1,1,0
2025040611,(organic),google / organic,(not set),(not set),24,24,109,1,1,0
2024091511,(organic),google / organic,(not set),(not set),23,23,43,1,1,0
2024111010,(organic),google / organic,(not set),(not set),23,23,40,1,1,0
2024122211,(organic),google / organic,(not set),(not set),23,23,43,1,1,0
2025042008,(organic),google / organic,(not set),(not set),23,23,26.153703,1,1,0
2024081811,(organic),google / organic,(not set),(not set),22,22,41,1,1,0
2025010510,(organic),google / organic,(not set),(not set),22,22,33,1,1,0
2025020911,(organic),google / organic,(not set),(not set),22,22,78.270647,1,1,0
2025021611,(organic),google / organic,(not set),(not set),22,22,61,1,1,0
2024100610,(organic),google / organic,(not set),(not set),21,21,42,1,1,0
2024120110,(organic),google / organic,(not set),(not set),21,21,34,1,1,0
2025033011,(organic),google / organic,(not set),(not set),21,21,75,1,1,0
2025042011,(not set),(not set),(not set),,21,20,39,0.9523809523809523,1,0
2024081111,(organic),google / organic,(not set),(not set),20,20,41,1,1,0
2024112410,(organic),google / organic,(not set),(not set),20,20,27,1,1,0
2024112411,(organic),google / organic,(not set),(not set),20,20,54,1,1,0
2024122423,(organic),google / organic,(not set),(not set),20,20,23,1,1,0
2025011210,(organic),google / organic,(not set),(not set),20,20,32,1,1,0
2025021610,(organic),google / organic,(not set),(not set),20,20,76,1,1,0
2025022310,(organic),google / organic,(not set),(not set),20,20,73,1,1,0
2025031611,(organic),google / organic,(not set),(not set),20,20,43,1,1,0
2025033010,(organic),google / organic,(not set),(not set),20,20,59,1,1,0
2025040610,(organic),google / organic,(not set),(not set),20,20,51.98231,1,1,0
2024072811,(organic),google / organic,(not set),(not set),19,19,32,1,1,0
2024082511,(organic),google / organic,(not set),(not set),19,19,36,1,1,0
2024090810,(organic),google / organic,(not set),(not set),19,19,23,1,1,0
2024092210,(organic),google / organic,(not set),(not set),19,19,36.99998,1,1,0
2024092211,(organic),google / organic,(not set),(not set),19,19,40,1,1,0
2024102710,(organic),google / organic,(not set),(not set),19,19,32.998902,1,1,0
2024111011,(organic),google / organic,(not set),(not set),19,19,29,1,1,0
2024121510,(organic),google / organic,(not set),(not set),19,19,27,1,1,0
2024122911,(organic),google / organic,(not set),(not set),19,19,24,1,1,0
2025041920,(organic),google / organic,(not set),(not set),19,19,20,1,1,0
2025042012,(organic),google / organic,(not set),(not set),19,19,19,1,1,0
2024100611,(organic),google / organic,(not set),(not set),18,18,25,1,1,0
2024101310,(organic),google / organic,(not set),(not set),18,18,29,1,1,0
2024110311,(organic),google / organic,(not set),(not set),18,18,35,1,1,0
2024111710,(organic),google / organic,(not set),(not set),18,18,24,1,1,0
