Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,6551,50088,38768,5035094,634069.089,14886,31766310,4.11
5arnx9eaOcs,The Enduring Challenge of a Moral Economy,"Apr 20, 2018",7311,276,307,175,5602,1945.8481,41,78197,1.57
4S6BErQs-HE,How an Organ Makes Music,"Apr 22, 2015",335,161,2945,3715,266256,13354.1453,625,2927977,4.8
J-3isA1Kjd0,Organ Recital: J. S. Bach’s Great Eighteen Organ Chorales,"Nov 8, 2020",6909,153,302,496,28133,5101.5596,235,307299,4.26
PFT-m6n_bU8,Handel's Messiah 2024,"Dec 19, 2024",6234,125,3008,2681,141597,39763.6052,1245,2278230,3.99
cn77oZ_CvbE,Sunday Morning Worship Service - 10/18/20 - Dean Luke Powery,"Oct 18, 2020",4430,89,11,27,2225,548.971,13,26507,3.55
TW6yqG4BZoo,Sunday Morning Worship Service - 8/16/20 - Dean Luke A. Powery,"Aug 16, 2020",4097,78,19,12,1706,449.1206,5,14576,4.85
4kPzrah7eH4,Sunday Morning Worship Service - 12/6/20 - Dean Luke A. Powery,"Dec 6, 2020",4233,70,29,19,1908,507.1269,6,20964,4.22
Mg_gkjm4_g0,Sunday Morning Worship Service - 11/1/20 - Dean Luke A. Powery,"Nov 1, 2020",4929,68,19,16,1558,514.5832,5,14388,4.29
7Gdex9--krE,Handel's Messiah 2023,"Dec 18, 2023",6398,63,1036,993,59743,17876.6146,442,1233747,3.14
ZlCshdwhi74,Consecration of The Bishop Suffragan of The Episcopal Diocese of North Carolina,"Jun 15, 2013",11001,63,131,194,42946,7603.4186,123,222049,5.89
UoapXbkFcJg,Sunday Morning Worship Service - 8/23/20 - Dean Luke A. Powery,"Aug 23, 2020",4775,61,27,21,2113,583.6348,4,19358,5.17
BgH3ztyqL4E,Decoding Happiness by Pravrajika Divyanandaprana,"Apr 1, 2023",6786,59,1391,881,34533,9782.6434,508,490708,4.48
1MMCE32auck,Sunday Morning Worship Service - 4/26/20,"Apr 26, 2020",4662,58,19,30,3388,694.6701,12,38094,3.9
9DD9TMSWDy0,Sunday Morning Worship Service - 9/6/20 - Dean Luke A. Powery,"Sep 6, 2020",3979,53,4,18,1455,381.5233,6,16111,4.1
kusT8wig7H0,Sunday Morning Worship Service - 11/15/20 - Rev. Bruce Puckett,"Nov 15, 2020",4510,49,3,18,1993,431.7526,0,20503,4.51
qI3dKOY7S_w,Sunday Morning Worship Service - 9/20/20 - Dean Luke A. Powery,"Sep 20, 2020",4032,49,4,15,1576,426.8742,2,14636,4.52
 -AOzztCfl2g,Sunday Morning Worship Service - 10/25/20 - Rev. Dr. Carol Gregg,"Oct 25, 2020",4245,47,4,23,1639,431.1017,3,18827,3.54
D-nlnyJYnoE,Easter Sunday Morning Worship Service - 4/12/20,"Apr 12, 2020",4449,47,100,66,11016,1986.7672,62,73933,4.5
1tAA6IExiOc,Sunday Morning Worship Service - 10/11/20 - Rev. Bruce Puckett,"Oct 11, 2020",3991,46,10,22,1813,433.3079,5,16217,4.19
w7ym9pO_2vc,"O God, Beyond All Praising (Richard Proulx)","May 10, 2021",324,46,1074,847,84648,4133.6592,216,477030,7.82
SYXrJRgoHe8,Memorial Service for Life Flight Crew and Patient,"Sep 20, 2017",4176,45,146,71,9376,1491.8064,22,24223,2.84
kmtqYfRB1wA,Let All Mortal Flesh Keep Silence (arr. Chad Fothergill),"Apr 22, 2020",316,45,1607,1158,77676,3735.0134,261,401912,8
6nk07-lBNlM,2023 Air Force and Navy ROTC Commissioning Ceremony,"May 13, 2023",5296,44,12,14,969,93.803,3,15522,2.96
RVNkxoySuFk,Sunday Morning Worship Service - 8/30/20,"Aug 30, 2020",3718,44,8,17,1934,398.1831,7,18900,4.79
RbMjp4M00ME,Sunday Morning Worship Service - 9/13/20 - Rev. Bruce Puckett,"Sep 13, 2020",4236,43,4,21,1807,404.7438,2,18728,4.39
DWNxFTSujCo,Sunday Morning Worship Service - 5/10/20,"May 10, 2020",4415,38,10,17,1917,498.8982,8,21338,3.67
h8qtu0dVZQA,Sunday Morning Worship Service - 7/5/20 - Rev. Bruce Puckett,"Jul 5, 2020",3987,37,8,18,1500,343.2299,6,14577,4.29
9NOyXeU-nw8,Organ Recital: Celebrating the Musical Legacy of Marcel Dupré,"Feb 21, 2021",4414,36,264,365,17315,2691.1344,186,247119,3.5
WkXpnG_VS6c,"Choral Evensong with the Choir of Clare College, Cambridge","Sep 16, 2010",3877,35,101,245,82223,6398.7988,104,157813,4.39
j7YrkhGEZYQ,Sunday Sermon - Casting Out Demons - Lillian Daniel,"Feb 19, 2009",1412,34,110,88,15713,1242.4858,50,153672,2.26
uSymhoXlfZg,Sunday Morning Worship Service - 6/7/20 - Rev. Bruce Puckett,"Jun 7, 2020",4809,33,14,30,2493,578.3525,9,34477,3.11
uxDU2-cj-j8,Sunday Morning Worship Service - 5/31/20 - Rev. Kathryn Lester-Bacon,"May 31, 2020",4507,33,17,21,1962,514.4722,5,21173,4.16
-9gV3ww2ruk,Sunday Morning Worship Service - 10/4/20 - Dean Luke Powery and Rev. Bruce Puckett,"Oct 4, 2020",4260,32,19,12,1452,411.0313,4,13772,3.91
Kd5X-mSVIIU,Palm Sunday: Service of Word and Prayer - 4/5/20,"Apr 5, 2020",2987,32,46,42,3641,689.2046,32,35474,3.83
OhAvrzV7mJE,Sunday Morning Worship Service - 6/28/20 - Rev. Dr. Stephen Chapman,"Jun 28, 2020",4560,32,14,19,1940,517.3084,4,22046,4.11
VO7rwwTiE3g,Catholic Mass - 4/6/12 - Good Friday,"Apr 6, 2012",5212,32,182,237,65407,5256.1219,123,235241,5.51
e5X8TxgQRh0,Sunday Morning Worship Service - 11/8/20 - Dean Luke A. Powery,"Nov 8, 2020",4931,32,9,15,1773,463.8861,7,18013,4.26
mnWIc_IXrtU,Sunday Morning Worship Service - 6/14/20 - Dr. Ellen Davis,"Jun 14, 2020",4099,31,24,30,2413,545.3431,14,23390,4.6
w19IZAaH6Fw,Catholic Mass - 4/7/12 - Easter Vigil for Holy Saturday,"Apr 8, 2012",9671,31,117,133,49621,3733.9798,74,174874,4.3
