"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels","Data comment",Date,Reach,"3-second video views","1-minute video views","Seconds viewed","Average Seconds viewed","3-Second viewers","1-minute viewers","Reactions, Comments and Shares",Reactions,Comments,Shares,"3-second video views by top audience (F, 65+)","3-second video views by top audience (F, 55-64)","3-second video views by top audience (M, 65+)","3-second video views by top audience (F, 45-54)","3-second video views by top audience (M, 45-54)","3-second video views by top audience (F, 25-34)","3-second video views by top audience (M, 25-34)","3-second video views by top audience (M, 55-64)","3-second video views by top audience (F, 35-44)","3-second video views by top audience (M, 35-44)","3-second video views by top audience (F, 18-24)","3-second video views by top audience (M, 18-24)","3-second video views by country (United States (US))","3-second video views by country (New Zealand (NZ))","3-second video views by country (Brazil (BR))","3-second video views by country (Hong Kong (HK))","3-second video views by country (South Korea (KR))","3-second video views by country (Cayman Islands (KY))","3-second video views by country (Japan (JP))","3-second video views by country (United Kingdom (GB))","3-second video views by country (India (IN))","3-second video views by country (Australia (AU))","3-second video views by country (Nigeria (NG))","3-second video views by country (Russia (RU))","3-second video views by country (Puerto Rico (PR))","3-second video views by country (Italy (IT))","3-second video views by country (Canada (CA))","3-second video views by country (France (FR))","3-second video views by country (Indonesia (ID))","3-second video views by country (Panama (PA))","3-second video views by country (Myanmar (MM))","3-second video views by country (Bangladesh (BD))","3-second video views by country (Denmark (DK))","3-second video views by country (Nepal (NP))","3-second video views by country (Costa Rica (CR))","3-second video views by country (China (CN))","3-second video views by country (Poland (PL))","3-second video views by country (Peru (PE))","3-second video views by country (El Salvador (SV))","3-second video views by country (Philippines (PH))","3-second video views by country (South Africa (ZA))","3-second video views by country (Taiwan (TW))","3-second video views by country (Israel (IL))","3-second video views by country (Belgium (BE))","3-second video views by country (Nicaragua (NI))","3-second video views by country (Mexico (MX))","3-second video views by country (Singapore (SG))","3-second video views by country (Malaysia (MY))","3-second video views by country (Ireland (IE))","3-second video views by country (Germany (DE))","3-second video views by country (Ukraine (UA))","3-second video views by country (Vietnam (VN))","3-second video views by country (The Bahamas (BS))","3-second video views by country (St. Lucia (LC))","3-second video views by country (Isle Of Man (IM))","3-second video views by country (US Virgin Islands (VI))","3-second video views by country (Guatemala (GT))","3-second video views by country (Netherlands (NL))","3-second video views by country (Switzerland (CH))","3-second video views by country (Norway (NO))","3-second video views by country (Sweden (SE))","3-second video views by country (Pakistan (PK))","3-second video views by country (Tanzania (TZ))","3-second video views by country (Thailand (TH))","3-second video views by country (Lebanon (LB))","3-second video views by country (Ghana (GH))","3-second video views by country (Finland (FI))","3-second video views by country (Cyprus (CY))","3-second video views by country (Saudi Arabia (SA))","3-second video views by country (Romania (RO))","3-second video views by country (United Arab Emirates (AE))","3-second video views by country (Chile (CL))","3-second video views by country (Albania (AL))","3-second video views by country (Austria (AT))","3-second video views by country (Mauritius (MU))","3-second video views by country (Benin (BJ))","3-second video views by country (Somalia (SO))","3-second video views by country (Uganda (UG))","3-second video views by country (Bahrain (BH))","3-second video views by country (Czech Republic (CZ))","3-second video views by country (Spain (ES))","3-second video views by country (Ecuador (EC))","3-second video views by country (Armenia (AM))","3-second video views by country (Guyana (GY))","3-second video views by country (Egypt (EG))","3-second video views by country (Cambodia (KH))","3-second video views by country (Turkey (TR))","3-second video views by country (Hungary (HU))","3-second video views by country (Portugal (PT))","3-second video views by country (Argentina (AR))","3-second video views by country (Bolivia (BO))"
664129531280118,,202916306413971,"Duke University Chapel","Sunday Morning Worship Service",5141,"01/02/2022 07:45",,,Lifetime,696,374,60,82303.266,77.571,301,53,29,16,3,10,100,81,51,38,23,12,12,24,16,7,3,3,339,9,2,,1,1,,1,1,,,,,,1,,3,,,1,,,,,1,,,2,2,1,,,,1,,,,,,2,,,,,1,,1,,2,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,
389698019353079,,202916306413971,"Duke University Chapel",,955,"03/31/2022 14:00",,,Lifetime,366,110,16,10599.722,29.608,102,16,30,26,4,0,35,17,11,14,4,4,4,6,9,4,,1,105,3,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014689412782221,,202916306413971,"Duke University Chapel",,1000,"03/29/2022 14:00",,,Lifetime,393,136,19,11619.561,27.34,111,15,34,19,12,3,43,24,20,17,3,4,3,14,3,3,,,126,4,,,,,,1,1,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496753851827353,,202916306413971,"Duke University Chapel",,952,"03/28/2022 13:59",,,Lifetime,387,140,20,12720.919,32.042,122,18,39,21,17,1,43,18,15,17,7,6,2,13,10,6,,,127,3,,,,1,,,1,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121420964792922,,202916306413971,"Duke University Chapel","Sunday Morning Worship Service",5113,"03/27/2022 07:50",,,Lifetime,706,384,47,51656.325,58.368,313,43,28,16,8,4,92,84,48,35,17,15,12,29,22,15,5,3,356,5,1,,,,1,1,1,1,,,,,3,1,1,,,1,,,,,,,,2,2,3,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
702631937599578,,202916306413971,"Duke University Chapel",,1099,"03/25/2022 13:59",,,Lifetime,384,103,16,11744.328,30.906,93,16,37,20,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524740709166485,,202916306413971,"Duke University Chapel",,976,"03/24/2022 13:59",,,Lifetime,377,95,21,11064.382,29.903,86,19,18,13,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403411911646347,,202916306413971,"Duke University Chapel","Jazz Vespers at Duke Chapel",32,"03/22/2022 17:40",,,Lifetime,392,96,0,1529.255,4.734,91,0,7,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984746642436276,,202916306413971,"Duke University Chapel",,1080,"03/22/2022 13:58",,,Lifetime,375,136,30,16565.968,44.175,106,22,27,20,4,3,35,21,17,27,6,5,1,5,10,5,1,2,130,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1022701891929253,,202916306413971,"Duke University Chapel","Spring Oratorio 2022",17,"03/21/2022 15:49",,,Lifetime,544,185,0,2898.074,5.269,121,0,29,20,1,8,40,22,16,57,7,7,6,12,9,5,2,1,177,1,1,,,,,,3,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
