# ----------------------------------------
# Duke Chapel - GA4
# DCDevelopment_Pages and Screens by Date+Hour-Free form 1
# 20240224-20250423
# ----------------------------------------

Date + hour (YYYYMMDDHH),Page path and screen class,Page title and screen class,Page title and screen name,Content group,Views,Views per active user,Key events,Event count,Active users
,,,,,688434,3.4195666643486553,32283,1859245,201322,Grand total
2025010401,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),370,52.857142857142854,0,746,7
2024100712,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),269,20.692307692307693,0,555,13
2024080910,/music,2024–2025 Concert Season | Duke University Chapel,2024–2025 Concert Season | Duke University Chapel,(not set),213,1.1036269430051813,0,710,193
2025010401,/student-engagement,Student Engagement | Duke University Chapel,Student Engagement | Duke University Chapel,(not set),192,64,0,379,3
2024080818,/music,2024–2025 Concert Season | Duke University Chapel,2024–2025 Concert Season | Duke University Chapel,(not set),191,0.9896373056994818,0,649,193
2025010401,/sacred-music-arts,Sacred Music & The Arts | Duke University Chapel,Sacred Music & The Arts | Duke University Chapel,(not set),187,187,0,369,1
2024080911,/music,2024–2025 Concert Season | Duke University Chapel,2024–2025 Concert Season | Duke University Chapel,(not set),178,1.0348837209302326,0,599,172
2025040522,/news/,News | Duke University Chapel,News | Duke University Chapel,(not set),171,171,0,320,1
2024033111,/events/university-worship-easter-day-1711897200-1711900800,University Worship: Easter Day | Duke University Chapel,University Worship: Easter Day | Duke University Chapel,(not set),168,1.4736842105263157,0,289,114
2025010401,/christian-worship,Christian Worship | Duke University Chapel,Christian Worship | Duke University Chapel,(not set),168,84,168,505,2
2024100712,/student-engagement,Student Engagement | Duke University Chapel,Student Engagement | Duke University Chapel,(not set),157,78.5,0,314,2
2024080817,/music,2024–2025 Concert Season | Duke University Chapel,2024–2025 Concert Season | Duke University Chapel,(not set),150,1.079136690647482,0,486,139
2024052318,/guest-preachers-summer-2024,Alumni Guest Preachers Summer 2024 | Duke University Chapel,Alumni Guest Preachers Summer 2024 | Duke University Chapel,(not set),149,1.0419580419580419,0,511,143
2024100712,/christian-worship,Christian Worship | Duke University Chapel,Christian Worship | Duke University Chapel,(not set),144,72,144,433,2
2025040310,/event/organ-recital-series-robert-parkins-6/,Organ Recital Series: Robert Parkins | Duke University Chapel,Organ Recital Series: Robert Parkins | Duke University Chapel,(not set),144,1.1612903225806452,0,459,124
2024042811,/events/university-worship-1714316400-1714320000,University Worship | Duke University Chapel,University Worship | Duke University Chapel,(not set),137,1.8266666666666667,0,270,75
2025040418,/about-chapel/mission/dean/,From the Dean | Duke University Chapel,From the Dean | Duke University Chapel,(not set),130,130,0,237,1
2025020310,/archives/,Duke University Chapel,Duke University Chapel,(not set),128,42.666666666666664,0,160,3
