"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Comments,Saves,Follows
18028471153327951,17841400029380429,dukechapel,"Duke Chapel","A special service of Choral Vespers tomorrow (Thursday) at 7:00 p.m. celebrates the Feast of the Epiphany with music from German, Spanish, and English composers. In particular, the canticle for the service uses the text from the Magnificat interspersed with German Christmas carols, set to music by the Baroque-era, German composer Samuel Scheidt. Details on our website.",0,"01/05/2022 14:37",https://www.instagram.com/p/CYXYrQZrfTd/,"IG image",,Lifetime,2,97,0,0,4,
17994879019406981,17841400029380429,dukechapel,"Duke Chapel","Today members of the Sikh community celebrate the birth anniversary of Guru Gobind Singh (represented in this image). Here is a brief explanation from the Duke Sikh Society about the importance of Guru Singh in the Sikh faith:⠀
⠀
Guru (""Teacher"") Gobind Singh was born in India in 1666 and is regarded as a linguist, poet, warrior and philosopher who institutionalized the Sikhs as a formal, stand-alone religion in 1699. The Guru penned widely acclaimed pieces of literature such as the Zafarnama and the Dasam Granth—and is also known for having compiled the authoritative version of the Guru Granth Sahib (main religious text of the Sikhs). Moreover, he created the Khalsa (an all-volunteer Sikh army), which was crucial in protecting Sikhs and Indians from persecution after his death and in the nine subsequent invasions of India. One of his quotes—""Recognize the whole human race as one""—is now the motto of the largest Sikh-led NGO in the world, Khalsa Aid.⠀
⠀
To learn more, follow the Duke Sikh Society on Instagram @dukesikhsociety.",0,"01/09/2022 09:46",https://www.instagram.com/p/CYhKjBVNNgM/,"IG image",,Lifetime,3,127,0,1,0,
18183664279080427,17841400029380429,dukechapel,"Duke Chapel","Due to staffing constraints, visitor access to Duke Chapel through Sunday, January 16, is limited to Duke students, staff, and faculty who preregister online. Members of the Duke community are invited to register to spend time in the Chapel to meditate, reflect, pray, or just be. Register here: tickets.duke.edu/chapel/.

People attending scheduled public services or events are not required to register. All visitors to the Chapel must be masked at all times.

The Chapel is closed all day on the Martin Luther King, Jr. holiday on Monday, January 17.

Members of the public who wish to visit the Chapel are invited to check back at our website for availability to visit after January 18. #FindSanctuary",0,"01/11/2022 06:01",https://www.instagram.com/p/CYl6Y0lMLCs/,"IG image",,Lifetime,2,213,0,0,2,
17932546633927655,17841400029380429,dukechapel,"Duke Chapel","""Baptize us again in the truth of your goodness, the love from community, and the hope of new birth and new life. Open our eyes to see those who are in these baptismal waters with us, and unite your church together by your love and inclusivity."" — Kiana Hertogh, a @DukeDivinity student, from the Prayers of the People during Sunday's service  #findsanctuary",0,"01/11/2022 10:22",https://www.instagram.com/p/CYmYQj6guti/,"IG image",,Lifetime,3,89,0,1,0,
18119012563271474,17841400029380429,dukechapel,"Duke Chapel","Duke's Hindu Students Association @duke_hsa will host an online celebration of Makar Sankranti this Friday from 6:00 to 6:30 p.m. Makar Sankranti is a festival that aligns with the solar calendar, and marks the beginning of a new season which brings with it crops and harvest. This festival dedicated to Surya, the Hindu god of sun, is also known as Uttarayan, Maghi, Pongal, Boghi Panduga, and other names across different regions. Join the celebration via Zoom at https://buff.ly/3FiIMph .",0,"01/12/2022 12:37",https://www.instagram.com/p/CYpMlkTMhTE/,"IG image",,Lifetime,8,29,0,0,0,
17922745403119217,17841400029380429,dukechapel,"Duke Chapel","In our worship service this Sunday at 11:00 a.m., we will honor the witness of the Rev. Dr. Martin Luther King, Jr. with a special prayer litany. Chapel Dean Luke A. Powery will preach a sermon titled The Common Good based on a passage from Paul's First Letter to the Corinthians. Details and livestream: https://buff.ly/3K2CzBo",0,"01/13/2022 06:49",https://www.instagram.com/p/CYrJeQQsGOs/,"IG image",,Lifetime,6,109,0,0,1,
18187705795197298,17841400029380429,dukechapel,"Duke Chapel","Due to staffing constraints, visitor access to Duke Chapel through Friday, January 14, is limited to Duke students, staff, and faculty who preregister online. The Chapel is closed all day on Saturday, January 15, for private events and also on the Martin Luther King, Jr. holiday on Monday, January 17.

People attending scheduled public services or events are not required to register. All visitors to the Chapel must be masked at all times.

See our website for updates and registration information.",0,"01/13/2022 08:03",https://www.instagram.com/p/CYrR8LftcpA/,"IG image",,Lifetime,4,223,0,0,2,
17918070935071194,17841400029380429,dukechapel,"Duke Chapel","This Sunday at about 8:30 a.m. on WCPE Radio's ""Great Sacred Music"" program, Chapel Organist Christopher Jacobson will discuss the anthem ""I was glad"" by the American composer Leo Sowerby. Following the conversation, the broadcast will feature a recording of the Duke Evensong Singers performing the piece.",0,"01/13/2022 13:37",https://www.instagram.com/p/CYr4KzGPu2X/,"IG image",,Lifetime,3,73,0,0,2,
18222115981096642,17841400029380429,dukechapel,"Duke Chapel","UPDATE: The Martin Luther King, Jr. ceremony on Sunday at 3:00 p.m. will be held virtually (not at the Chapel). Read more and find the link for the livestream on our website.",0,"01/14/2022 14:21",https://www.instagram.com/p/CYuiFZRsDZR/,"IG image",,Lifetime,1,40,0,0,0,
17936843341857458,17841400029380429,dukechapel,"Duke Chapel","Students: You have a chance to see campus (and beyond) from a unique perspective, participate in a Duke tradition, and also share a fun experience with other students. This Thursday (Jan. 20) beginning at 8:30 p.m., we are having our monthly nighttime tower climb. Registration is required. Sign up link in bio.

#FindSanctuary",0,"01/14/2022 18:26",https://www.instagram.com/p/CYu-CCaMBGt/,"IG image",,Lifetime,1,716,0,0,22,
